NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Bournedale, Cape Cod Canal (Sta. 200) 
State: MA 
Stationid: 8447191
Prediction Type: Harmonic
From: 20230101 06:19 - 20231231 20:10
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2023/02/24	Fri	08:15 PM	-0.00		0			L
2023/02/25	Sat	02:20 AM	7.17		219			H
2023/02/25	Sat	08:50 AM	-0.13		-4			L
2023/02/25	Sat	02:51 PM	6.28		191			H
2023/02/25	Sat	09:07 PM	0.39		12			L
2023/02/26	Sun	03:13 AM	6.90		210			H
2023/02/26	Sun	09:45 AM	0.17		5			L
2023/02/26	Sun	03:47 PM	5.83		178			H
2023/02/26	Sun	10:00 PM	0.76		23			L
2023/02/27	Mon	04:07 AM	6.58		201			H
2023/02/27	Mon	10:40 AM	0.47		14			L
2023/02/27	Mon	04:46 PM	5.45		166			H
2023/02/27	Mon	10:54 PM	1.08		33			L
2023/02/28	Tue	05:06 AM	6.30		192			H
2023/02/28	Tue	11:38 AM	0.73		22			L
2023/02/28	Tue	05:51 PM	5.20		158			H
2023/02/28	Tue	11:51 PM	1.31		40			L
2023/03/01	Wed	06:10 AM	6.13		187			H
2023/03/01	Wed	12:38 PM	0.88		27			L
2023/03/01	Wed	06:57 PM	5.11		156			H
2023/03/02	Thu	12:49 AM	1.40		43			L
2023/03/02	Thu	07:11 AM	6.09		186			H
2023/03/02	Thu	01:35 PM	0.91		28			L
2023/03/02	Thu	07:52 PM	5.14		157			H
2023/03/03	Fri	01:43 AM	1.37		42			L
2023/03/03	Fri	08:03 AM	6.12		187			H
2023/03/03	Fri	02:25 PM	0.87		27			L
2023/03/03	Fri	08:39 PM	5.22		159			H
2023/03/04	Sat	02:33 AM	1.27		39			L
2023/03/04	Sat	08:48 AM	6.17		188			H
2023/03/04	Sat	03:11 PM	0.79		24			L
2023/03/04	Sat	09:20 PM	5.34		163			H
2023/03/05	Sun	03:20 AM	1.14		35			L
2023/03/05	Sun	09:30 AM	6.22		190			H
2023/03/05	Sun	03:54 PM	0.70		21			L
2023/03/05	Sun	09:59 PM	5.50		168			H
2023/03/06	Mon	04:04 AM	0.98		30			L
2023/03/06	Mon	10:10 AM	6.25		190			H
2023/03/06	Mon	04:34 PM	0.63		19			L
2023/03/06	Mon	10:35 PM	5.70		174			H
2023/03/07	Tue	04:46 AM	0.83		25			L
2023/03/07	Tue	10:47 AM	6.28		191			H
2023/03/07	Tue	05:11 PM	0.59		18			L
2023/03/07	Tue	11:08 PM	5.92		180			H
2023/03/08	Wed	05:25 AM	0.68		21			L
2023/03/08	Wed	11:23 AM	6.29		192			H
2023/03/08	Wed	05:48 PM	0.61		19			L
2023/03/08	Wed	11:41 PM	6.14		187			H
2023/03/09	Thu	06:05 AM	0.57		17			L
2023/03/09	Thu	11:59 AM	6.26		191			H
2023/03/09	Thu	06:24 PM	0.68		21			L
2023/03/10	Fri	12:15 AM	6.34		193			H
2023/03/10	Fri	06:45 AM	0.50		15			L
2023/03/10	Fri	12:37 PM	6.19		189			H
2023/03/10	Fri	07:02 PM	0.81		25			L
2023/03/11	Sat	12:51 AM	6.51		198			H
2023/03/11	Sat	07:29 AM	0.47		14			L
2023/03/11	Sat	01:18 PM	6.05		184			H
2023/03/11	Sat	07:44 PM	0.95		29			L
2023/03/12	Sun	01:32 AM	6.62		202			H
2023/03/12	Sun	09:18 AM	0.47		14			L
2023/03/12	Sun	03:03 PM	5.88		179			H
2023/03/12	Sun	09:30 PM	1.08		33			L
2023/03/13	Mon	03:18 AM	6.67		203			H
2023/03/13	Mon	10:11 AM	0.49		15			L
2023/03/13	Mon	03:55 PM	5.69		173			H
2023/03/13	Mon	10:21 PM	1.18		36			L
2023/03/14	Tue	04:11 AM	6.67		203			H
2023/03/14	Tue	11:06 AM	0.50		15			L
2023/03/14	Tue	04:51 PM	5.52		168			H
2023/03/14	Tue	11:16 PM	1.22		37			L
2023/03/15	Wed	05:10 AM	6.67		203			H
2023/03/15	Wed	12:04 PM	0.49		15			L
2023/03/15	Wed	05:54 PM	5.42		165			H
2023/03/16	Thu	12:16 AM	1.17		36			L
2023/03/16	Thu	06:15 AM	6.70		204			H
2023/03/16	Thu	01:06 PM	0.40		12			L
2023/03/16	Thu	07:03 PM	5.50		168			H
2023/03/17	Fri	01:19 AM	0.99		30			L
2023/03/17	Fri	07:24 AM	6.83		208			H
2023/03/17	Fri	02:07 PM	0.20		6			L
2023/03/17	Fri	08:08 PM	5.77		176			H
2023/03/18	Sat	02:21 AM	0.67		20			L
2023/03/18	Sat	08:29 AM	7.05		215			H
2023/03/18	Sat	03:04 PM	-0.05		-2			L
2023/03/18	Sat	09:07 PM	6.17		188			H
2023/03/19	Sun	03:20 AM	0.27		8			L
2023/03/19	Sun	09:27 AM	7.25		221			H
2023/03/19	Sun	03:57 PM	-0.29		-9			L
2023/03/19	Sun	10:00 PM	6.58		201			H
2023/03/20	Mon	04:16 AM	-0.12		-4			L
2023/03/20	Mon	10:23 AM	7.36		224			H
2023/03/20	Mon	04:48 PM	-0.46		-14			L
2023/03/20	Mon	10:53 PM	6.96		212			H
2023/03/21	Tue	05:10 AM	-0.46		-14			L
2023/03/21	Tue	11:17 AM	7.38		225			H
2023/03/21	Tue	05:37 PM	-0.53		-16			L
2023/03/21	Tue	11:43 PM	7.27		222			H
2023/03/22	Wed	06:01 AM	-0.67		-20			L
2023/03/22	Wed	12:09 PM	7.28		222			H
2023/03/22	Wed	06:24 PM	-0.47		-14			L
2023/03/23	Thu	12:30 AM	7.45		227			H
2023/03/23	Thu	06:50 AM	-0.73		-22			L
2023/03/23	Thu	12:57 PM	7.08		216			H
2023/03/23	Thu	07:09 PM	-0.27		-8			L
2023/03/24	Fri	01:15 AM	7.47		228			H
2023/03/24	Fri	07:39 AM	-0.62		-19			L
2023/03/24	Fri	01:45 PM	6.76		206			H
2023/03/24	Fri	07:56 PM	0.04		1			L
2023/03/25	Sat	02:00 AM	7.32		223			H
2023/03/25	Sat	08:29 AM	-0.36		-11			L
2023/03/25	Sat	02:33 PM	6.38		194			H
2023/03/25	Sat	08:44 PM	0.41		12			L
2023/03/26	Sun	02:47 AM	7.04		215			H
2023/03/26	Sun	09:21 AM	-0.03		-1			L
2023/03/26	Sun	03:23 PM	5.98		182			H
2023/03/26	Sun	09:36 PM	0.77		23			L
2023/03/27	Mon	03:38 AM	6.70		204			H
2023/03/27	Mon	10:15 AM	0.31		9			L
2023/03/27	Mon	04:16 PM	5.61		171			H
2023/03/27	Mon	10:29 PM	1.08		33			L
2023/03/28	Tue	04:30 AM	6.36		194			H
2023/03/28	Tue	11:08 AM	0.63		19			L
2023/03/28	Tue	05:11 PM	5.30		162			H
2023/03/28	Tue	11:22 PM	1.33		41			L
2023/03/29	Wed	05:27 AM	6.07		185			H
2023/03/29	Wed	12:04 PM	0.89		27			L
2023/03/29	Wed	06:11 PM	5.09		155			H
2023/03/30	Thu	12:18 AM	1.48		45			L
2023/03/30	Thu	06:29 AM	5.88		179			H
2023/03/30	Thu	01:01 PM	1.03		31			L
2023/03/30	Thu	07:16 PM	5.05		154			H
2023/03/31	Fri	01:16 AM	1.51		46			L
2023/03/31	Fri	07:33 AM	5.84		178			H
2023/03/31	Fri	01:58 PM	1.05		32			L
2023/03/31	Fri	08:14 PM	5.16		157			H
2023/04/01	Sat	02:12 AM	1.41		43			L
2023/04/01	Sat	08:28 AM	5.90		180			H
2023/04/01	Sat	02:49 PM	0.99		30			L
2023/04/01	Sat	09:01 PM	5.34		163			H
2023/04/02	Sun	03:03 AM	1.23		37			L
2023/04/02	Sun	09:15 AM	5.97		182			H
2023/04/02	Sun	03:35 PM	0.89		27			L
2023/04/02	Sun	09:42 PM	5.55		169			H
2023/04/03	Mon	03:50 AM	1.02		31			L
2023/04/03	Mon	09:57 AM	6.04		184			H
2023/04/03	Mon	04:18 PM	0.81		25			L
2023/04/03	Mon	10:19 PM	5.79		176			H
2023/04/04	Tue	04:35 AM	0.79		24			L
2023/04/04	Tue	10:38 AM	6.08		185			H
2023/04/04	Tue	04:58 PM	0.75		23			L
2023/04/04	Tue	10:56 PM	6.03		184			H
2023/04/05	Wed	05:18 AM	0.57		17			L
2023/04/05	Wed	11:17 AM	6.11		186			H
2023/04/05	Wed	05:37 PM	0.72		22			L
2023/04/05	Wed	11:31 PM	6.28		191			H
2023/04/06	Thu	05:59 AM	0.36		11			L
2023/04/06	Thu	11:56 AM	6.14		187			H
2023/04/06	Thu	06:15 PM	0.73		22			L
2023/04/07	Fri	12:07 AM	6.53		199			H
2023/04/07	Fri	06:39 AM	0.20		6			L
2023/04/07	Fri	12:34 PM	6.14		187			H
2023/04/07	Fri	06:52 PM	0.77		23			L
2023/04/08	Sat	12:43 AM	6.75		206			H
2023/04/08	Sat	07:21 AM	0.10		3			L
2023/04/08	Sat	01:14 PM	6.11		186			H
2023/04/08	Sat	07:31 PM	0.85		26			L
2023/04/09	Sun	01:22 AM	6.91		211			H
2023/04/09	Sun	08:05 AM	0.09		3			L
2023/04/09	Sun	01:56 PM	6.02		183			H
2023/04/09	Sun	08:14 PM	0.94		29			L
2023/04/10	Mon	02:06 AM	6.98		213			H
2023/04/10	Mon	08:54 AM	0.13		4			L
2023/04/10	Mon	02:44 PM	5.89		180			H
2023/04/10	Mon	09:04 PM	1.03		31			L
2023/04/11	Tue	02:55 AM	6.96		212			H
2023/04/11	Tue	09:49 AM	0.19		6			L
2023/04/11	Tue	03:38 PM	5.75		175			H
2023/04/11	Tue	10:00 PM	1.08		33			L
2023/04/12	Wed	03:52 AM	6.88		210			H
2023/04/12	Wed	10:46 AM	0.24		7			L
2023/04/12	Wed	04:36 PM	5.66		173			H
2023/04/12	Wed	10:58 PM	1.06		32			L
2023/04/13	Thu	04:54 AM	6.79		207			H
2023/04/13	Thu	11:44 AM	0.27		8			L
2023/04/13	Thu	05:39 PM	5.66		173			H
2023/04/14	Fri	12:00 AM	0.97		30			L
2023/04/14	Fri	06:00 AM	6.72		205			H
2023/04/14	Fri	12:44 PM	0.24		7			L
2023/04/14	Fri	06:47 PM	5.82		177			H
2023/04/15	Sat	01:04 AM	0.77		23			L
2023/04/15	Sat	07:10 AM	6.74		205			H
2023/04/15	Sat	01:45 PM	0.13		4			L
2023/04/15	Sat	07:52 PM	6.15		187			H
2023/04/16	Sun	02:07 AM	0.45		14			L
2023/04/16	Sun	08:15 AM	6.83		208			H
2023/04/16	Sun	02:41 PM	-0.02		-1			L
2023/04/16	Sun	08:50 PM	6.56		200			H
2023/04/17	Mon	03:05 AM	0.07		2			L
2023/04/17	Mon	09:14 AM	6.91		211			H
2023/04/17	Mon	03:34 PM	-0.13		-4			L
2023/04/17	Mon	09:42 PM	6.93		211			H
2023/04/18	Tue	04:01 AM	-0.26		-8			L
2023/04/18	Tue	10:08 AM	6.92		211			H
2023/04/18	Tue	04:24 PM	-0.17		-5			L
2023/04/18	Tue	10:31 PM	7.21		220			H
2023/04/19	Wed	04:53 AM	-0.51		-16			L
2023/04/19	Wed	11:01 AM	6.85		209			H
2023/04/19	Wed	05:12 PM	-0.13		-4			L
2023/04/19	Wed	11:19 PM	7.38		225			H
2023/04/20	Thu	05:43 AM	-0.64		-20			L
2023/04/20	Thu	11:52 AM	6.71		205			H
2023/04/20	Thu	05:59 PM	0.00		0			L
2023/04/21	Fri	12:05 AM	7.41		226			H
2023/04/21	Fri	06:31 AM	-0.62		-19			L
2023/04/21	Fri	12:39 PM	6.52		199			H
2023/04/21	Fri	06:44 PM	0.22		7			L
2023/04/22	Sat	12:49 AM	7.32		223			H
2023/04/22	Sat	07:17 AM	-0.45		-14			L
2023/04/22	Sat	01:23 PM	6.27		191			H
2023/04/22	Sat	07:28 PM	0.50		15			L
2023/04/23	Sun	01:32 AM	7.11		217			H
2023/04/23	Sun	08:04 AM	-0.17		-5			L
2023/04/23	Sun	02:08 PM	5.99		183			H
2023/04/23	Sun	08:15 PM	0.81		25			L
2023/04/24	Mon	02:16 AM	6.82		208			H
2023/04/24	Mon	08:53 AM	0.15		5			L
2023/04/24	Mon	02:54 PM	5.69		173			H
2023/04/24	Mon	09:05 PM	1.10		34			L
2023/04/25	Tue	03:03 AM	6.51		198			H
2023/04/25	Tue	09:44 AM	0.47		14			L
2023/04/25	Tue	03:44 PM	5.43		166			H
2023/04/25	Tue	09:57 PM	1.33		41			L
2023/04/26	Wed	03:55 AM	6.21		189			H
2023/04/26	Wed	10:36 AM	0.73		22			L
2023/04/26	Wed	04:36 PM	5.24		160			H
2023/04/26	Wed	10:51 PM	1.48		45			L
2023/04/27	Thu	04:48 AM	5.96		182			H
2023/04/27	Thu	11:29 AM	0.92		28			L
2023/04/27	Thu	05:31 PM	5.13		156			H
2023/04/27	Thu	11:45 PM	1.55		47			L
2023/04/28	Fri	05:46 AM	5.78		176			H
2023/04/28	Fri	12:22 PM	1.04		32			L
2023/04/28	Fri	06:30 PM	5.14		157			H
2023/04/29	Sat	12:41 AM	1.53		47			L
2023/04/29	Sat	06:46 AM	5.69		173			H
2023/04/29	Sat	01:16 PM	1.08		33			L
2023/04/29	Sat	07:27 PM	5.29		161			H
2023/04/30	Sun	01:37 AM	1.40		43			L
2023/04/30	Sun	07:45 AM	5.70		174			H
2023/04/30	Sun	02:07 PM	1.05		32			L
2023/04/30	Sun	08:17 PM	5.54		169			H
2023/05/01	Mon	02:29 AM	1.17		36			L
2023/05/01	Mon	08:35 AM	5.75		175			H
2023/05/01	Mon	02:54 PM	1.00		30			L
2023/05/01	Mon	08:58 PM	5.81		177			H
2023/05/02	Tue	03:18 AM	0.91		28			L
2023/05/02	Tue	09:20 AM	5.81		177			H
2023/05/02	Tue	03:37 PM	0.95		29			L
2023/05/02	Tue	09:37 PM	6.09		186			H
2023/05/03	Wed	04:03 AM	0.63		19			L
2023/05/03	Wed	10:02 AM	5.86		179			H
2023/05/03	Wed	04:19 PM	0.91		28			L
2023/05/03	Wed	10:15 PM	6.37		194			H
2023/05/04	Thu	04:48 AM	0.36		11			L
2023/05/04	Thu	10:44 AM	5.90		180			H
2023/05/04	Thu	05:00 PM	0.88		27			L
2023/05/04	Thu	10:53 PM	6.64		202			H
2023/05/05	Fri	05:31 AM	0.11		3			L
2023/05/05	Fri	11:27 AM	5.95		181			H
2023/05/05	Fri	05:41 PM	0.85		26			L
2023/05/05	Fri	11:33 PM	6.89		210			H
2023/05/06	Sat	06:14 AM	-0.09		-3			L
2023/05/06	Sat	12:09 PM	6.00		183			H
2023/05/06	Sat	06:22 PM	0.82		25			L
2023/05/07	Sun	12:15 AM	7.11		217			H
2023/05/07	Sun	06:58 AM	-0.20		-6			L
2023/05/07	Sun	12:53 PM	6.03		184			H
2023/05/07	Sun	07:05 PM	0.80		24			L
2023/05/08	Mon	12:59 AM	7.25		221			H
2023/05/08	Mon	07:44 AM	-0.23		-7			L
2023/05/08	Mon	01:38 PM	6.02		183			H
2023/05/08	Mon	07:51 PM	0.82		25			L
2023/05/09	Tue	01:47 AM	7.29		222			H
2023/05/09	Tue	08:35 AM	-0.18		-5			L
2023/05/09	Tue	02:28 PM	5.97		182			H
2023/05/09	Tue	08:44 PM	0.84		26			L
2023/05/10	Wed	02:40 AM	7.23		220			H
2023/05/10	Wed	09:30 AM	-0.11		-3			L
2023/05/10	Wed	03:24 PM	5.94		181			H
2023/05/10	Wed	09:43 PM	0.84		26			L
2023/05/11	Thu	03:39 AM	7.08		216			H
2023/05/11	Thu	10:27 AM	-0.05		-2			L
2023/05/11	Thu	04:24 PM	5.97		182			H
2023/05/11	Thu	10:44 PM	0.78		24			L
2023/05/12	Fri	04:41 AM	6.90		210			H
2023/05/12	Fri	11:24 AM	0.00		0			L
2023/05/12	Fri	05:26 PM	6.08		185			H
2023/05/12	Fri	11:45 PM	0.66		20			L
2023/05/13	Sat	05:46 AM	6.72		205			H
2023/05/13	Sat	12:22 PM	0.05		2			L
2023/05/13	Sat	06:30 PM	6.28		191			H
2023/05/14	Sun	12:48 AM	0.48		15			L
2023/05/14	Sun	06:54 AM	6.59		201			H
2023/05/14	Sun	01:20 PM	0.07		2			L
2023/05/14	Sun	07:33 PM	6.59		201			H
